time (s),input (us),force (lb)
1.224,1850,9.14
1.226,1650,8.68
1.228,1650,9.00
1.230,1650,9.50
1.232,1650,9.32
1.234,1650,8.29
1.236,1650,9.68
1.238,1650,8.57
1.240,1650,5.36
1.242,1650,4.43
1.244,1650,1.22
1.246,1650,-1.60
1.248,1650,-1.92
1.250,1650,-0.92
1.252,1650,0.94
1.254,1650,2.11
1.256,1650,3.97
1.258,1650,2.83
1.260,1650,1.93
1.262,1650,2.22
1.264,1650,1.65
1.266,1650,2.04
1.268,1650,2.97
1.270,1650,3.97
1.272,1650,5.04
1.274,1650,5.00
1.276,1650,5.25
1.278,1650,5.15
1.280,1650,3.58
1.282,1650,1.43
1.284,1650,0.69
1.286,1650,0.44
1.288,1650,0.26
1.290,1650,1.86
1.292,1650,2.36
1.294,1650,2.11
1.296,1650,2.29
1.298,1650,2.22
1.300,1650,1.90
1.302,1650,3.08
1.304,1650,3.22
1.306,1650,3.54
1.308,1650,3.47
1.310,1650,3.11
1.312,1650,2.40
1.314,1650,2.61
1.316,1650,2.68
1.318,1650,2.43
1.320,1650,2.54
1.322,1650,2.79
1.324,1650,3.11
1.326,1650,2.58
1.328,1650,2.04
1.330,1650,1.90
1.332,1650,2.29
1.334,1650,2.29
1.336,1650,1.97
1.338,1650,1.76
1.340,1650,1.36
1.342,1850,1.26
1.344,1850,1.93
1.346,1850,2.65
1.348,1850,3.47
1.350,1850,4.08
1.352,1850,3.93
1.354,1850,4.08
1.356,1850,6.04
1.358,1850,8.25
1.360,1850,10.54
1.362,1850,11.96
1.364,1850,12.82
1.366,1850,11.46
1.368,1850,9.50
1.370,1850,8.04
1.372,1850,7.29
1.374,1850,8.14
1.376,1850,7.50
1.378,1850,7.89
1.380,1850,7.86
1.382,1850,6.07
1.384,1850,6.22
1.386,1850,7.75
1.388,1850,7.86
1.390,1850,8.57
1.392,1850,9.68
1.394,1850,8.72
1.396,1850,7.54
1.398,1850,8.75
1.400,1850,8.89
1.402,1850,8.18
1.404,1850,8.82
1.406,1850,9.18
1.408,1850,7.25
1.410,1850,8.14
1.412,1850,9.00
1.414,1850,8.61
1.416,1850,9.68
1.418,1850,9.64
1.420,1850,9.36
1.422,1850,7.61
1.424,1850,8.36
1.426,1850,8.61
1.428,1850,6.72
1.430,1850,8.47
1.432,1850,8.54
1.434,1850,7.82
1.436,1850,8.04
1.438,1850,9.00
1.440,1850,9.11
1.442,1850,7.75
1.444,1850,9.75
1.446,1850,9.71
1.448,1850,8.11
1.450,1650,9.75
1.452,1650,9.14
1.454,1650,7.89
1.456,1650,8.50
1.458,1650,9.36
1.460,1650,8.07
1.462,1650,6.15
1.464,1650,6.90
1.466,1650,3.50
1.468,1650,0.97
1.470,1650,0.29
1.472,1650,-1.13
1.474,1650,-1.85
1.476,1650,-0.14
1.478,1650,2.01
1.480,1650,4.00
1.482,1650,4.00
1.484,1650,5.29
1.486,1650,3.93
1.488,1650,3.93
1.490,1650,3.61
1.492,1650,3.22
1.494,1650,2.68
1.496,1650,2.93
1.498,1650,2.29
1.500,1650,1.79
1.502,1650,1.26
1.504,1650,1.54
1.506,1650,2.15
1.508,1650,2.33
1.510,1650,2.86
1.512,1650,3.68
1.514,1650,4.00
1.516,1650,3.90
1.518,1650,3.33
1.520,1650,2.40
1.522,1650,2.15
1.524,1650,2.11
1.526,1650,1.61
1.528,1650,1.40
1.530,1650,1.51
1.532,1650,1.54
1.534,1650,1.22
1.536,1650,1.54
1.538,1650,2.61
1.540,1650,3.47
1.542,1650,3.83
1.544,1650,4.54
1.546,1650,4.33
1.548,1650,3.18
1.550,1850,2.83
1.552,1850,2.72
1.554,1850,2.08
1.556,1850,2.26
1.558,1850,1.97
1.560,1850,1.43
1.562,1850,1.51
1.564,1850,2.72
1.566,1850,4.25
1.568,1850,6.72
1.570,1850,9.46
1.572,1850,11.46
1.574,1850,13.18
1.576,1850,13.89
1.578,1850,13.43
1.580,1850,12.89
1.582,1850,10.18
1.584,1850,7.75
1.586,1850,6.15
1.588,1850,4.86
1.590,1850,3.97
1.592,1850,5.15
1.594,1850,5.82
1.596,1850,6.29
1.598,1850,7.89
1.600,1850,9.46
1.602,1850,8.64
1.604,1850,9.11
1.606,1850,10.89
1.608,1850,10.61
1.610,1850,9.96
1.612,1850,10.32
1.614,1850,9.25
1.616,1850,8.04
1.618,1850,7.82
1.620,1850,8.29
1.622,1850,7.32
1.624,1850,6.68
1.626,1850,8.82
1.628,1850,7.25
1.630,1850,7.36
1.632,1850,9.71
1.634,1850,9.29
1.636,1850,8.61
1.638,1850,9.43
1.640,1850,9.82
1.642,1850,8.39
1.644,1650,7.79
1.646,1650,9.36
1.648,1650,7.07
1.650,1650,7.43
1.652,1650,9.64
1.654,1650,8.64
1.656,1650,8.07
1.658,1650,8.14
1.660,1650,6.04
1.662,1650,2.61
1.664,1650,0.36
1.666,1650,-0.14
1.668,1650,-1.42
1.670,1650,-0.46
1.672,1650,2.36
1.674,1650,3.15
1.676,1650,3.33
1.678,1650,2.86
1.680,1650,2.40
1.682,1650,1.15
1.684,1650,0.19
1.686,1650,1.15
1.688,1650,2.11
1.690,1650,3.18
1.692,1650,4.61
1.694,1650,5.43
1.696,1650,5.65
1.698,1650,4.72
1.700,1650,4.00
1.702,1650,2.97
1.704,1650,1.90
1.706,1650,1.76
1.708,1650,1.54
1.710,1650,1.33
1.712,1650,1.15
1.714,1650,1.65
1.716,1650,1.01
1.718,1650,0.72
1.720,1650,1.83
1.722,1650,2.01
1.724,1650,2.29
1.726,1650,3.58
1.728,1650,3.97
1.730,1650,4.29
1.732,1650,4.40
1.734,1850,4.22
1.736,1850,2.90
1.738,1850,2.51
1.740,1850,1.79
1.742,1850,1.43
1.744,1850,2.04
1.746,1850,2.15
1.748,1850,2.29
1.750,1850,3.36
1.752,1850,5.54
1.754,1850,7.86
1.756,1850,10.11
1.758,1850,12.71
1.760,1850,12.43
1.762,1850,12.50
1.764,1850,12.03
1.766,1850,10.39
1.768,1850,9.36
1.770,1850,8.50
1.772,1850,7.14
1.774,1850,5.93
1.776,1850,5.65
1.778,1850,5.68
1.780,1850,5.36
1.782,1850,6.79
1.784,1850,7.86
1.786,1850,7.89
1.788,1850,8.22
1.790,1850,9.46
1.792,1850,9.11
1.794,1850,10.00
1.796,1850,10.39
1.798,1850,10.79
1.800,1850,8.61
1.802,1850,8.36
1.804,1850,8.72
1.806,1850,6.65
1.808,1850,7.50
1.810,1850,9.25
